Start_Hour,Average_LCOE,Average_PBP
1,0.05288521115832777,4.892462734877041
2,0.05155926977167898,4.8400943841218815
3,0.05107413183933095,4.833500178080921
4,0.05098555260730679,4.8308062686521644
5,0.05096100910099868,4.824462781962555
6,0.05103528602136606,4.821291551931283
7,0.051517928945396245,4.835712829885272
8,0.05294998977126049,4.897410261293262
9,0.055157151848458874,5.006941657273258
10,0.05781926570262814,5.159358826371849
11,0.06080655668572919,5.355769892878078
12,0.06409688669249271,5.597255717931042
13,0.06757343970716087,5.901024102063113
14,0.07106255136685652,6.252904806540843
15,0.07384142404628043,6.575268800951715
16,0.07507351398093849,6.738096266992417
17,0.07515385421961733,6.751071770364193
18,0.0738237255792466,6.582046342475626
19,0.07120861490625942,6.2799932651160955
20,0.06766459282121699,5.9205957487433665
21,0.06412226134052454,5.60930084704659
22,0.060834591397504315,5.3590320512171905
23,0.05782678724810782,5.159853646177222
