,HVAC_kWh,HVAC_kWh,LED_total_kWh,LED_total_kWh,FFU_kWh,FFU_kWh,FAU_kWh,FAU_kWh,Total_kWh,Total_kWh
,mean,std,mean,std,mean,std,mean,std,mean,std
Season,,,,,,,,,,
fall,9.18,2.9,15.6,2.48,5.77,0.0,0.75,0.0,31.3,3.28
spring,6.23,1.83,13.62,0.27,5.77,0.0,0.19,0.0,25.81,1.87
summer,15.75,3.16,16.65,0.78,5.77,0.0,0.17,0.0,38.33,3.27
winter,9.47,8.21,16.33,5.27,6.92,2.39,0.9,0.31,33.62,14.36
