Start_Hour,Average_LCOE,Average_PBP
1,0.07575721710495328,8.72596641439464
2,0.07502894540254033,8.679972554075814
3,0.07468822020378275,8.658969826001153
4,0.07459999171684722,8.651546300899367
5,0.0745913357088087,8.649300273007455
6,0.07464069932443312,8.650356009106032
7,0.0749291526433251,8.664994500712671
8,0.07558809015510067,8.700383796850884
9,0.07656171519165264,8.761628003746072
10,0.07765922870397708,8.838064519883794
11,0.07885083973303013,8.930742220083358
12,0.0801362552922028,9.041698945781693
13,0.08144139301631614,9.163959510338428
14,0.0827252466260119,9.29545634357659
15,0.08373272768797416,9.404197404007126
16,0.08423135306963378,9.458889750819514
17,0.08430948828777379,9.46988255639231
18,0.08392674407991764,9.428806609171936
19,0.0830171523966677,9.333473614073055
20,0.08176862827821849,9.203863151481086
21,0.08045474910661442,9.080172930382114
22,0.07917848715276209,8.971535609413742
23,0.07795520721656748,8.875287199763624
