City,Payback_Range,Mean_LCOE,Std_LCOE,Mean_Payback,TLPS,City_Order
Shanghai,0-3,0.0421424943357208,0.0010981611569477918,2.9622673984914325,37.31735159817352,0
Shanghai,3-5,0.0398290789129583,0.001088297352143133,3.977025098477809,15.331050228310502,0
Harbin,0-3,0.0396020004553406,0.0010014241389462448,2.9611668487305454,33.59589041095891,1
Harbin,3-5,0.0384739535656681,0.0010469321257293239,3.526057853025936,20.171232876712327,1
Lasa,0-3,0.0341724246296615,0.0009470645385750681,2.9750692312285083,17.30593607305936,2
Lasa,3-5,0.0328188416801479,0.0009776425605789367,3.3076086944496,10.21689497716895,2
Urumqi,0-3,0.0378823678177957,0.0010027307578879105,2.9565847019150864,26.06164383561644,3
Urumqi,3-5,0.0369745060649699,0.000959112225590641,3.3929469373770447,16.335616438356166,3
Haikou,0-3,0.0367422774013554,0.0009725186341146351,2.969411985356247,21.3013698630137,4
Haikou,3-5,0.034808020079901,0.0010540705032767472,3.6264458451595214,10.308219178082192,4
