City,Payback_Range,Actual_Payback,LCOE,PV_Area,Battery_Capacity,City_Order
Shanghai,0-3,2.974178170694943,0.0457241291089534,50.0,10.0,0
Shanghai,3-5,4.684203894427068,0.0426241344265345,70.0,25.0,0
Harbin,0-3,2.9681080298026883,0.0445587231641412,50.0,10.0,1
Harbin,3-5,4.138308639021339,0.0418768462117057,60.0,20.0,1
Lasa,0-3,2.9402591283799806,0.0391795765064294,20.0,15.0,2
Lasa,3-5,4.002503050722305,0.0355580875754056,30.0,25.0,2
Urumqi,0-3,2.8763126267647783,0.0424913353492561,50.0,10.0,3
Urumqi,3-5,4.04248284824167,0.040091153398113,60.0,20.0,3
Haikou,0-3,2.990164733042267,0.0411653938959701,30.0,15.0,4
Haikou,3-5,4.087476709663024,0.037400302691222,50.0,25.0,4
