City,Payback_Range,Mean_LCOE,Std_LCOE,Mean_Payback,TLPS,City_Order
Shanghai,0-3,0.0457241291089534,0.0012256152860100219,2.974178170694943,37.22602739726028,0
Shanghai,3-5,0.0426241344265345,0.0012828556314561698,4.684203894427068,10.91324200913242,0
Harbin,0-3,0.0445587231641412,0.0011779942984086974,2.9681080298026883,40.63926940639269,1
Harbin,3-5,0.0418768462117057,0.0011271142796791022,4.138308639021339,15.901826484018263,1
Lasa,0-3,0.0391795765064294,0.0011430858301819662,2.9402591283799806,23.253424657534246,2
Lasa,3-5,0.0355580875754056,0.0009666496716191114,4.002503050722305,7.203196347031963,2
Urumqi,0-3,0.0424913353492561,0.001101989896822542,2.8763126267647783,35.78767123287671,3
Urumqi,3-5,0.040091153398113,0.001066436401017134,4.04248284824167,14.200913242009133,3
Haikou,0-3,0.0411653938959701,0.0011795857262934535,2.990164733042267,38.92694063926941,4
Haikou,3-5,0.037400302691222,0.0010033204148136867,4.087476709663024,9.406392694063928,4
