G (W/m^2),T_a (°C),T_m (°C),I_sc (A),V_oc (V),n,R_s (Ω),R_sh (Ω),I_L (A),I_0 (A),V_mp (V),I_mp (A),P_max_simulated (W),P_max_manufacturer (W)
1000,2,33.25,14.03190075,56.157362500000005,0.42435775130548303,0.2762378668455475,366.83,14.042467340330584,1.591930462646213e-13,46.72565919290621,13.378225142198524,625.1063886003374,640
800,10,35.0,11.24691,55.50302530552233,0.4219478013954243,0.2912680248232792,458.5375,11.254054159989238,1.8547676836314603e-13,46.62035231582739,10.728274363748111,500.1559305787959,510
600,15,33.75,8.44304625,55.16579018509596,0.42366638970348647,0.3073593508163809,611.3833333333333,8.447290803413264,1.6882905202309999e-13,46.906967130313426,8.058023828431251,377.97745885550705,350
400,18,30.5,5.6266005,54.91898787205167,0.42820093858060265,0.32819138904751916,917.075,5.628614077770314,1.2954393891034438e-13,47.347210872376046,5.373024679714008,254.39773253289988,240
200,23,29.25,2.8227367500000002,53.874975560452405,0.42997094907407407,0.3678476866822468,1834.15,2.823302863558652,1.180447891803975e-13,47.0462285178067,2.697197418787168,126.8929661218995,120
