time,Power (kWh),HVAC_kW,Other_kW
2024-01-01 01:00:00,0.5675806256496774,0.1975806256496774,0.37
2024-01-01 02:00:00,0.5475603775849419,0.1775603775849419,0.37
2024-01-01 03:00:00,0.5436297039416049,0.17362970394160487,0.37
2024-01-01 04:00:00,0.5641086635549099,0.19410866355490985,0.37
2024-01-01 05:00:00,0.5816785891875248,0.21167858918752477,0.37
2024-01-01 06:00:00,0.6057723099271412,0.23577230992714118,0.37
2024-01-01 07:00:00,0.651883954984113,0.281883954984113,0.37
2024-01-01 08:00:00,0.6741092628505736,0.3041092628505736,0.37
2024-01-01 09:00:00,0.6575208615606263,0.2875208615606263,0.37
2024-01-01 10:00:00,0.5530952948667178,0.18309529486671788,0.37
2024-01-01 11:00:00,0.48279242744503553,0.11279242744503555,0.37
2024-01-01 12:00:00,0.44070597852798366,0.07070597852798363,0.37
2024-01-01 13:00:00,0.4151941622549396,0.04519416225493959,0.37
2024-01-01 14:00:00,0.41960174187337007,0.04960174187337008,0.37
2024-01-01 15:00:00,0.42830978495072913,0.05830978495072914,0.37
2024-01-01 16:00:00,0.4232659566085879,0.05326595660858789,0.37
2024-01-01 17:00:00,0.43968599973702455,0.06968599973702454,0.37
2024-01-01 18:00:00,0.4660685986560313,0.0960685986560313,0.37
2024-01-01 19:00:00,0.48316685962798106,0.11316685962798105,0.37
2024-01-01 20:00:00,0.5015401131792461,0.13154011317924602,0.37
2024-01-01 21:00:00,0.5257757951018192,0.15577579510181921,0.37
2024-01-01 22:00:00,0.5646838161860988,0.19468381618609873,0.37
2024-01-01 23:00:00,0.5860864907062981,0.21608649070629812,0.37
2024-01-02 00:00:00,0.5886376334888157,0.21863763348881576,0.37
2024-01-02 01:00:00,0.5803234544297533,0.21032345442975325,0.37
2024-01-02 02:00:00,0.5965321944376232,0.22653219443762315,0.37
2024-01-02 03:00:00,0.6126882882046566,0.24268828820465663,0.37
2024-01-02 04:00:00,0.6254617645607033,0.25546176456070335,0.37
2024-01-02 05:00:00,0.6509228483625881,0.2809228483625881,0.37
2024-01-02 06:00:00,0.6788855632826647,0.3088855632826647,0.37
2024-01-02 07:00:00,0.7136519028175656,0.3436519028175656,0.37
2024-01-02 08:00:00,0.7269952614860874,0.3569952614860874,0.37
2024-01-02 09:00:00,0.6588380725148442,0.28883807251484417,0.37
2024-01-02 10:00:00,0.5632120911715071,0.19321209117150706,0.37
2024-01-02 11:00:00,0.4910461000500397,0.12104610005003968,0.37
2024-01-02 12:00:00,0.4596344341323444,0.08963443413234437,0.37
2024-01-02 13:00:00,0.415764524734557,0.04576452473455702,0.37
2024-01-02 14:00:00,0.3764505724882737,0.00645057248827369,0.37
2024-01-02 15:00:00,0.4106689585646237,0.0406689585646237,0.37
2024-01-02 16:00:00,0.40795514561585355,0.03795514561585354,0.37
2024-01-02 17:00:00,0.38062802067109425,0.010628020671094248,0.37
2024-01-02 18:00:00,0.38540978096048867,0.015409780960488688,0.37
2024-01-02 19:00:00,0.4003770334747948,0.030377033474794816,0.37
2024-01-02 20:00:00,0.41402843123651367,0.044028431236513704,0.37
2024-01-02 21:00:00,0.4268572422252969,0.05685724222529692,0.37
2024-01-02 22:00:00,0.44855049665110114,0.07855049665110117,0.37
2024-01-02 23:00:00,0.46996588008257656,0.09996588008257658,0.37
2024-01-03 00:00:00,0.48369909086619056,0.11369909086619055,0.37
2024-01-03 01:00:00,0.4913077313856624,0.12130773138566239,0.37
2024-01-03 02:00:00,0.5013239725533887,0.13132397255338873,0.37
2024-01-03 03:00:00,0.5085552452201316,0.13855524522013157,0.37
2024-01-03 04:00:00,0.5173136654148568,0.14731366541485683,0.37
2024-01-03 05:00:00,0.5508022903545134,0.18080229035451348,0.37
2024-01-03 06:00:00,0.5824381341388545,0.2124381341388545,0.37
2024-01-03 07:00:00,0.6010890635539242,0.23108906355392425,0.37
2024-01-03 08:00:00,0.6095639071213277,0.23956390712132766,0.37
2024-01-03 09:00:00,0.5864557281835838,0.21645572818358377,0.37
2024-01-03 10:00:00,0.49854964993005724,0.1285496499300572,0.37
2024-01-03 11:00:00,0.466918158612537,0.096918158612537,0.37
2024-01-03 12:00:00,0.41914107211364493,0.049141072113644955,0.37
2024-01-03 13:00:00,0.3950586061127886,0.025058606112788612,0.37
2024-01-03 14:00:00,0.405838272252968,0.03583827225296799,0.37
2024-01-03 15:00:00,0.4019947073673145,0.03199470736731452,0.37
2024-01-03 16:00:00,0.4324821245225691,0.06248212452256911,0.37
2024-01-03 17:00:00,0.4784051756093959,0.10840517560939586,0.37
2024-01-03 18:00:00,0.5218797457407502,0.15187974574075022,0.37
2024-01-03 19:00:00,0.6027046510217435,0.2327046510217435,0.37
2024-01-03 20:00:00,0.6392324005823935,0.26923240058239356,0.37
2024-01-03 21:00:00,0.6436965986182401,0.27369659861824014,0.37
2024-01-03 22:00:00,0.6380231439660682,0.26802314396606813,0.37
2024-01-03 23:00:00,0.6364388981431888,0.2664388981431887,0.37
2024-01-04 00:00:00,0.6422111293303783,0.27221112933037833,0.37
2024-01-04 01:00:00,0.6566839755693465,0.2866839755693466,0.37
2024-01-04 02:00:00,0.6626232169263596,0.2926232169263596,0.37
2024-01-04 03:00:00,0.6647239427973065,0.2947239427973065,0.37
2024-01-04 04:00:00,0.6813178820433845,0.31131788204338445,0.37
2024-01-04 05:00:00,0.6895453679778848,0.3195453679778848,0.37
2024-01-04 06:00:00,0.6885076493403428,0.31850764934034287,0.37
2024-01-04 07:00:00,0.6943803045788395,0.3243803045788395,0.37
2024-01-04 08:00:00,0.6886757522052248,0.3186757522052248,0.37
2024-01-04 09:00:00,0.6187596019291571,0.24875960192915716,0.37
2024-01-04 10:00:00,0.535278046715333,0.165278046715333,0.37
2024-01-04 11:00:00,0.47125667199539684,0.10125667199539685,0.37
