Date/Time,DistrictCooling:HVAC [J](Hourly),DistrictHeating:HVAC [J](Hourly),Electricity:Facility [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 01/05  24:00:00,0.0,904103.2241867211,1332530.907142857,0.0,1332000.0 
 01/06  01:00:00,0.0,948155.8713703804,1332530.907142857,0.0,1332000.0 
 01/06  02:00:00,0.0,1016312.7974427936,1332530.907142857,0.0,1332000.0 
 01/06  03:00:00,0.0,1065543.6548784154,1332530.907142857,0.0,1332000.0 
 01/06  04:00:00,0.0,1152840.589352704,1332530.907142857,0.0,1332000.0 
 01/06  05:00:00,0.0,1198605.7264573555,1332530.907142857,0.0,1332000.0 
 01/06  06:00:00,0.0,1201002.137806991,1332530.907142857,0.0,1332000.0 
 01/06  07:00:00,0.0,1164567.2477057152,1332530.907142857,0.0,1332000.0 
 01/06  08:00:00,0.0,1158318.2378527534,1332530.907142857,0.0,1332000.0 
 01/06  09:00:00,0.0,1047112.296106112,1332530.907142857,0.0,1332000.0 
 01/06  10:00:00,0.0,944424.3795691117,1332530.907142857,0.0,1332000.0 
 01/06  11:00:00,0.0,860250.876346569,1332530.907142857,0.0,1332000.0 
 01/06  12:00:00,0.0,749734.3841277687,1332530.907142857,0.0,1332000.0 
 01/06  13:00:00,0.0,676474.7267757881,1332530.907142857,0.0,1332000.0 
 01/06  14:00:00,0.0,608935.7164485418,1332530.907142857,0.0,1332000.0 
 01/06  15:00:00,0.0,545766.8989128922,1332530.907142857,0.0,1332000.0 
 01/06  16:00:00,0.0,561202.3856513045,1332530.907142857,0.0,1332000.0 
 01/06  17:00:00,0.0,609413.5371352214,1332530.907142857,0.0,1332000.0 
 01/06  18:00:00,0.0,791765.8864788371,1332530.907142857,0.0,1332000.0 
 01/06  19:00:00,0.0,962316.2706630578,1332530.907142857,0.0,1332000.0 
 01/06  20:00:00,0.0,1076405.948292407,1332530.907142857,0.0,1332000.0 
 01/06  21:00:00,0.0,1198558.8251844312,1332530.907142857,0.0,1332000.0 
 01/06  22:00:00,0.0,1231498.84046542,1332530.907142857,0.0,1332000.0 
 01/06  23:00:00,0.0,1355216.0209543542,1332530.907142857,0.0,1332000.0 
 01/06  24:00:00,0.0,1448048.7959844135,1332530.907142857,0.0,1332000.0 
 01/07  01:00:00,0.0,1391518.9359329478,1332530.907142857,0.0,1332000.0 
 01/07  02:00:00,0.0,1488498.464318847,1332530.907142857,0.0,1332000.0 
 01/07  03:00:00,0.0,1651880.0943561685,1332530.907142857,0.0,1332000.0 
 01/07  04:00:00,0.0,1695362.7745247262,1332530.907142857,0.0,1332000.0 
 01/07  05:00:00,0.0,1587498.2179180805,1332530.907142857,0.0,1332000.0 
 01/07  06:00:00,0.0,1574986.3728151731,1332530.907142857,0.0,1332000.0 
 01/07  07:00:00,0.0,1693038.2153969863,1332530.907142857,0.0,1332000.0 
