City,Mean_HVAC_Energy,Std_HVAC_Energy,Min_HVAC_Energy,Max_HVAC_Energy,City_Order
Shanghai,21.392988383281732,0.12347767094345165,21.208282889766362,21.555409507272806,0
Harbin,20.064919784372456,0.3263904786347385,19.563132762972664,20.472082970567474,1
Lasa,19.2906069481006,0.36548080806553884,18.7409562564103,19.759113728777752,2
Urumqi,20.399405204161223,0.21380689341663986,20.06358004951207,20.66459862899568,3
Haikou,24.382732066463454,0.06313511113309488,24.314263830752438,24.487326995935216,4
