city,scenario,schedule_start,schedule_end,photoperiod,optimal_pv_area [m²],optimal_battery_capacity [kWh],capital_cost [$],annual_savings [$/year],payback_period [years],lcoe [$/kWh],grid_cost [$/year],pv_depreciation [$/year],battery_depreciation [$/year],annual_maintenance [$/year],annual_pv_generation [kWh/year],annual_pv_used [kWh/year],annual_grid_import [kWh/year],annual_grid_export [kWh/year],annual_battery_charge [kWh/year],annual_battery_discharge [kWh/year],tlps [%],tlps_max [%],is_feasible,is_optimal,constraint_violations
default_city,independent,0,0,0,0.0,0.0,0.0,0.0,inf,0.2,4607.764374148419,0.0,0.0,0.0,0.0,0.0,23038.82187074209,0.0,0.0,0.0,100.0,0,False,False,TLPS violation: 100.00%
default_city,independent,0,0,0,0.0,1.0,90.0,-0.07599643749927054,inf,0.20034795186670476,4607.840370585918,3.6,3.6,0.9,0.0,-0.3799821874999907,23039.20185292959,0.0,0.37998218749999996,0.0,100.0,0,False,False,Min SOC violation: 0.072; TLPS violation: 100.00%
default_city,independent,0,0,0,0.0,2.0,180.0,-0.15199287499945058,inf,0.20069590373340968,4607.916367023418,7.2,7.2,1.8,0.0,-0.7599643749999814,23039.58183511709,0.0,0.7599643749999999,0.0,100.0,0,False,False,Min SOC violation: 0.072; TLPS violation: 100.00%
default_city,independent,0,0,0,0.0,3.0,270.0,-0.22798931249963061,inf,0.2010438556001144,4607.992363460919,10.8,10.8,2.7,0.0,-1.139946562499972,23039.96181730459,0.0,1.1399465624999998,0.0,100.0,0,False,False,Min SOC violation: 0.072; TLPS violation: 100.00%
default_city,independent,0,0,0,0.0,4.0,360.0,-0.30398574999981065,inf,0.2013918074668193,4608.068359898419,14.4,14.4,3.6,0.0,-1.5199287499999627,23040.34179949209,0.0,1.5199287499999998,0.0,100.0,0,False,False,Min SOC violation: 0.072; TLPS violation: 100.00%
default_city,independent,0,0,0,0.0,5.0,450.0,-0.3799821874999907,inf,0.2017397593335241,4608.144356335919,18.0,18.0,4.5,0.0,-1.8999109374999534,23040.72178167959,0.0,1.8999109374999998,0.0,100.0,0,False,False,Min SOC violation: 0.072; TLPS violation: 100.00%
default_city,independent,0,0,0,0.0,6.0,540.0,-0.45597862499926123,inf,0.20208771120022892,4608.220352773418,21.6,21.6,5.4,0.0,-2.279893124999944,23041.10176386709,0.0,2.2798931249999996,0.0,100.0,0,False,False,Min SOC violation: 0.072; TLPS violation: 100.00%
default_city,independent,0,0,0,0.0,7.0,630.0,-0.5319690485566753,inf,0.20243566280589856,4608.296343196976,25.2,25.2,6.3,0.0,-2.659845242786105,23041.481715984875,0.0,2.6598452427849133,0.0,99.98858447488584,0,False,False,Min SOC violation: 0.072; TLPS violation: 99.99%
default_city,independent,0,0,0,0.0,8.0,720.0,-0.6079619236897997,inf,0.2027836145179789,4608.372336072109,28.8,28.8,7.2,0.0,-3.0398096184508177,23041.86168036054,0.0,3.039809618452882,0.0,99.98858447488584,0,False,False,Min SOC violation: 0.072; TLPS violation: 99.99%
default_city,independent,0,0,0,0.0,9.0,810.0,-0.6839547988238337,inf,0.20313156623005924,4608.448328947243,32.4,32.4,8.1,0.0,-3.4197739941228065,23042.241644736212,0.0,3.4197739941208503,0.0,99.98858447488584,0,False,False,Min SOC violation: 0.072; TLPS violation: 99.99%
