City,Mean_Radiation,Std_Radiation
Shanghai,3.953227397219178,1.9116975698623406
Beijing,3.816315063778082,1.6179811694167563
Harbin,3.807136984326027,1.8127489272926751
Haikou,4.716438355589041,1.575204685987676
Lasa,5.883194520923287,1.2754019344298073
Urumqi,4.21366027509863,1.9631017841755425
