City,Schedule_Start,HVAC_Energy
Shanghai,1,10.656692030001784
Shanghai,2,10.680661358703425
Shanghai,3,10.702014389955066
Shanghai,4,10.722638029291355
Shanghai,5,10.741712726609178
Shanghai,6,10.759826134314169
Shanghai,7,10.778053384282192
Shanghai,8,10.79666370870065
Shanghai,9,10.808177364710277
Shanghai,10,10.80318669395796
Shanghai,11,10.782850783820312
Shanghai,12,10.752387630604748
Shanghai,13,10.715631229826068
Shanghai,14,10.675001477328289
Shanghai,15,10.634101684585188
Shanghai,16,10.596451409067992
Shanghai,17,10.565339981529194
Shanghai,18,10.546641988434182
Shanghai,19,10.54256719445193
Shanghai,20,10.549395971728229
Shanghai,21,10.564013634098803
Shanghai,22,10.583853316792236
Shanghai,23,10.606657513140707
Beijing,1,9.983704838830507
Beijing,2,10.031009388766128
Beijing,3,10.0710598041357
Beijing,4,10.110273382231618
Beijing,5,10.150002545072892
Beijing,6,10.190821882421524
Beijing,7,10.230937402390047
Beijing,8,10.261103238602537
Beijing,9,10.266635068790416
Beijing,10,10.237573929035094
Beijing,11,10.17433545459115
Beijing,12,10.085116902983305
Beijing,13,9.97991959614829
Beijing,14,9.868283237241343
Beijing,15,9.758215634378288
Beijing,16,9.661029476484144
Beijing,17,9.599250010818757
Beijing,18,9.586315282747206
Beijing,19,9.6126354426633
Beijing,20,9.660738139171704
Beijing,21,9.721592024345785
Beijing,22,9.788666511426403
Beijing,23,9.85754107138089
Harbin,1,9.53091941219394
Harbin,2,9.60233494594766
Harbin,3,9.657614626937233
Harbin,4,9.704388683710654
Harbin,5,9.746270923507776
Harbin,6,9.784883548104597
Harbin,7,9.818363839447645
Harbin,8,9.840786775355463
Harbin,9,9.839532302240874
Harbin,10,9.80495225839738
Harbin,11,9.73491623241234
Harbin,12,9.634509823029607
Harbin,13,9.51244069769654
Harbin,14,9.379664559004055
Harbin,15,9.25047935085878
Harbin,16,9.13997232141209
Harbin,17,9.059902848283492
Harbin,18,9.021532323876984
Harbin,19,9.025802930379442
Harbin,20,9.06785449243842
Harbin,21,9.14095639123839
Harbin,22,9.236203129765165
Harbin,23,9.34010030033513
Haikou,1,13.07349983449455
Haikou,2,13.051695113576525
Haikou,3,13.036341433183594
Haikou,4,13.025531111711116
Haikou,5,13.01743140467817
Haikou,6,13.010643505934405
Haikou,7,13.004913984645082
Haikou,8,13.001920966659755
Haikou,9,13.005169487635866
Haikou,10,13.019066948666092
Haikou,11,13.043119698288589
Haikou,12,13.07368450721152
Haikou,13,13.108133910296011
Haikou,14,13.145383337774367
Haikou,15,13.183081436555817
Haikou,16,13.215794916468049
Haikou,17,13.23733044406821
Haikou,18,13.24351425318957
Haikou,19,13.234028299154192
Haikou,20,13.213391455435765
Haikou,21,13.186353329491443
Haikou,22,13.15635979676238
Haikou,23,13.126998355521721
Jinan,1,10.587497923547799
Jinan,2,10.61815730689229
Jinan,3,10.640664897802043
Jinan,4,10.660631717420745
Jinan,5,10.680030692775397
Jinan,6,10.700597753113447
Jinan,7,10.721474298320107
Jinan,8,10.737773043783797
Jinan,9,10.73492495438971
Jinan,10,10.705440157856138
Jinan,11,10.655626748107194
Jinan,12,10.593697541542689
Jinan,13,10.525302801030083
Jinan,14,10.45372341868965
Jinan,15,10.382679221273722
Jinan,16,10.32312071156559
Jinan,17,10.289819499477996
Jinan,18,10.28874079955742
Jinan,19,10.310741255803253
Jinan,20,10.348999002809474
